category,date,year,week,id_project,project_name,start_price,end_price,performance
4Chan,2024-01-13,2024,2,621,Cardano,0.523814,0.549262,0.04858213029815932
4Chan,2024-01-20,2024,3,621,Cardano,0.549262,0.512815,-0.06635631083162499
4Chan,2024-01-14,2024,3,23157,2024PUMP,0.00013404,0.00010734,-0.19919427036705467
4Chan,2024-01-13,2024,2,10709,The Doge NFT,0.00275786,0.00298309,0.08166839505993773
4Chan,2024-01-20,2024,3,10709,The Doge NFT,0.00298309,0.00275235,-0.07734932569919101
4Chan,2024-01-13,2024,2,23161,Dor,0.0381773,0.0450652,0.18041873050215712
4Chan,2024-01-20,2024,3,23161,Dor,0.0450652,0.042526,-0.05634502898023305
4Chan,2024-01-13,2024,2,21630,PodFast,0.09695,0.054737,-0.43541000515729755
4Chan,2024-01-20,2024,3,21630,PodFast,0.054737,0.0419625,-0.23337961525110987
4Chan,2024-01-13,2024,2,8839,Internet Computer,12.13,12.93,0.06595218466611698
4Chan,2024-01-20,2024,3,8839,Internet Computer,12.93,11.4,-0.11832946635730854
4Chan,2024-01-13,2024,2,22668,Mintra,0.00098257,0.00487726,3.9637786620800544
4Chan,2024-01-20,2024,3,22668,Mintra,0.00487726,0.00427101,-0.12430134952821854
4Chan,2024-01-13,2024,2,22669,ETF The Token,0.066967,0.00507129,-0.9242718055161497
4Chan,2024-01-20,2024,3,22669,ETF The Token,0.00507129,0.00467473,-0.07819706622969694
4Chan,2024-01-13,2024,2,9362,Don-key,0.00481656,0.00637315,0.3231746308568771
4Chan,2024-01-20,2024,3,9362,Don-key,0.00637315,0.00642077,0.007471972258616218
4Chan,2024-01-13,2024,2,659,ChainLink,13.52,14.38,0.06360946745562139
4Chan,2024-01-20,2024,3,659,ChainLink,14.38,15.72,0.09318497913769122
4Chan,2024-01-13,2024,2,147,Algorand,0.189645,0.190809,0.00613778375385588
4Chan,2024-01-20,2024,3,147,Algorand,0.190809,0.171952,-0.0988265752663659
4Chan,2024-01-14,2024,3,14483,CLIQ,1.64e-06,2e-06,0.2195121951219512
4Chan,2024-01-14,2024,3,24724,DAI Reflections,2.20002e-07,3.49871e-07,0.5903082699248191
4Chan,2024-01-13,2024,2,19609,KLEVA,0.105041,0.351448,2.345817347511924
4Chan,2024-01-20,2024,3,19609,KLEVA,0.351448,0.350453,-0.002831144294461679
4Chan,2024-01-13,2024,2,22682,VinuChain,0.077079,0.073852,-0.04186613733961253
4Chan,2024-01-20,2024,3,22682,VinuChain,0.073852,0.071709,-0.029017494448356253
4Chan,2024-01-13,2024,2,22681,SuiPad,0.124285,0.137935,0.10982821740354826
4Chan,2024-01-20,2024,3,22681,SuiPad,0.137935,0.152416,0.10498423170333848
4Chan,2024-01-13,2024,2,13981,Apricot,0.00190728,0.00169762,-0.10992617759322175
4Chan,2024-01-20,2024,3,13981,Apricot,0.00169762,0.00124473,-0.2667793734758072
4Chan,2024-01-14,2024,3,21151,ASIC Token,0.0116449,0.0134502,0.15502924026827203
4Chan,2024-01-13,2024,2,18080,Luna Inu,2.59653e-10,5.43348e-10,1.0925928065533614
4Chan,2024-01-20,2024,3,18080,Luna Inu,5.43348e-10,4.437e-09,7.166037235804678
4Chan,2024-01-13,2024,2,15010,LORDS,0.513763,0.455528,-0.11334992983145922
4Chan,2024-01-20,2024,3,15010,LORDS,0.455528,0.335324,-0.2638784004495881
4Chan,2024-01-13,2024,2,3747,Solana,94.43,96.24,0.019167637403367445
