,id_project,week,year,top,score,created_at,name,week_associated
336,1069,6,2024,General,72.21,2024-02-12 01:16:28,Hedera Hashgraph,7
337,5518,6,2024,General,71.52,2024-02-12 01:18:08,Avalanche,7
338,621,6,2024,General,71.08,2024-02-12 01:16:02,Cardano,7
339,984,6,2024,General,70.86,2024-02-12 01:16:15,TRON,7
340,3844,6,2024,General,70.80,2024-02-12 01:17:37,Trust Wallet Token,7
341,1036,6,2024,General,70.78,2024-02-12 01:16:23,Polygon,7
342,998,6,2024,General,70.71,2024-02-12 01:16:18,Dogecoin,7
343,769,6,2024,General,70.67,2024-02-12 01:16:08,Cosmos,7
344,907,6,2024,General,70.56,2024-02-12 01:16:11,Decentraland,7
345,8477,6,2024,General,70.08,2024-02-12 01:19:16,Mina Protocol (IOU),7
346,147,6,2024,General,70.08,2024-02-12 01:15:47,Algorand,7
347,5613,6,2024,General,70.05,2024-02-12 01:18:10,Aave,7
348,994,6,2024,General,69.90,2024-02-12 01:16:17,VeChain,7
349,4688,6,2024,General,69.87,2024-02-12 01:17:50,Polkadot,7
350,3747,6,2024,General,69.84,2024-02-12 01:17:35,Solana,7
351,5395,6,2024,General,69.69,2024-02-12 01:18:06,Uniswap,7
352,1011,6,2024,General,69.58,2024-02-12 01:16:20,Theta Network,7
353,985,6,2024,General,69.32,2024-02-12 01:16:16,Tezos,7
354,983,6,2024,General,69.30,2024-02-12 01:16:15,Stellar,7
355,6569,6,2024,General,68.57,2024-02-12 01:18:32,The Graph,7
356,1005,6,2024,General,68.18,2024-02-12 01:16:19,Synthetix Network Token,7
357,996,6,2024,General,68.14,2024-02-12 01:16:18,Maker,7
358,5674,6,2024,General,68.00,2024-02-12 01:18:13,PancakeSwap,7
359,15951,6,2024,General,67.81,2024-02-12 01:22:44,BitTorrent,7
360,376,4,2024,General,90.18,2024-01-29 10:12:05,Bitcoin,8
361,978,4,2024,General,75.67,2024-01-29 10:12:13,Ethereum,8
362,345,4,2024,General,73.65,2024-01-29 10:12:05,Binance Coin,8
363,979,4,2024,General,72.38,2024-01-29 10:12:13,XRP,8
364,5518,4,2024,General,72.19,2024-01-29 10:13:09,Avalanche,8
365,8839,4,2024,General,71.37,2024-01-29 10:13:47,Internet Computer,8
366,1069,4,2024,General,71.19,2024-01-29 10:12:16,Hedera Hashgraph,8
367,984,4,2024,General,70.89,2024-01-29 10:12:13,TRON,8
368,1036,4,2024,General,70.75,2024-01-29 10:12:15,Polygon,8
369,769,4,2024,General,70.64,2024-01-29 10:12:10,Cosmos,8
370,4688,4,2024,General,70.57,2024-01-29 10:13:00,Polkadot,8
371,994,4,2024,General,70.54,2024-01-29 10:12:13,VeChain,8
372,621,4,2024,General,70.42,2024-01-29 10:12:08,Cardano,8
373,6569,4,2024,General,70.35,2024-01-29 10:13:21,The Graph,8
