platform,date,year,week,id_project,project_name,start_price,end_price,performance
polygon-ecosystem,2023-07-08,2023,27,5613,Aave,67.88,72.92,0.0742486741308191
polygon-ecosystem,2023-07-08,2023,27,6569,The Graph,0.10454,0.115602,0.1058159556150756
polygon-ecosystem,2023-07-08,2023,27,4696,Curve DAO Token,0.772949,0.768761,-0.005418209998331
polygon-ecosystem,2023-07-08,2023,27,6723,Lido DAO,2.12,1.92,-0.0943396226415095
polygon-ecosystem,2023-07-08,2023,27,3720,Rocket Pool,38.16,35.9,-0.0592243186582808
polygon-ecosystem,2023-07-15,2023,28,376,Bitcoin,30134.0,30327.0,0.006404725559169
polygon-ecosystem,2023-07-15,2023,28,345,Binance Coin,235.02,251.64,0.0707173857544037
polygon-ecosystem,2023-07-15,2023,28,5395,Uniswap,5.2,5.8,0.1153846153846153
polygon-ecosystem,2023-07-15,2023,28,659,ChainLink,6.12,6.94,0.1339869281045752
polygon-ecosystem,2023-07-15,2023,28,1036,Polygon,0.673483,0.804503,0.1945409164002653
polygon-ecosystem,2023-07-15,2023,28,6569,The Graph,0.115602,0.121023,0.0468936523589558
polygon-ecosystem,2023-07-15,2023,28,5613,Aave,72.92,79.17,0.0857103675260559
polygon-ecosystem,2023-07-15,2023,28,4696,Curve DAO Token,0.768761,0.820153,0.0668504255548863
polygon-ecosystem,2023-07-15,2023,28,3720,Rocket Pool,35.9,36.5,0.0167130919220056
polygon-ecosystem,2023-07-15,2023,28,996,Maker,939.57,884.99,-0.0580904030567174
polygon-ecosystem,2023-07-22,2023,29,376,Bitcoin,30327.0,29836.0,-0.0161901935568964
polygon-ecosystem,2023-07-22,2023,29,345,Binance Coin,251.64,242.41,-0.0366793832459068
polygon-ecosystem,2023-07-22,2023,29,5395,Uniswap,5.8,6.16,0.0620689655172414
polygon-ecosystem,2023-07-22,2023,29,659,ChainLink,6.94,8.02,0.1556195965417866
polygon-ecosystem,2023-07-22,2023,29,1036,Polygon,0.804503,0.760187,-0.0550849406403705
polygon-ecosystem,2023-07-22,2023,29,6569,The Graph,0.121023,0.116803,-0.0348694049891343
polygon-ecosystem,2023-07-22,2023,29,5613,Aave,79.17,72.53,-0.08387015283567
polygon-ecosystem,2023-07-22,2023,29,3720,Rocket Pool,36.5,30.86,-0.1545205479452055
polygon-ecosystem,2023-07-22,2023,29,6723,Lido DAO,2.34,2.03,-0.1324786324786325
polygon-ecosystem,2023-07-22,2023,29,4696,Curve DAO Token,0.820153,0.760931,-0.0722084781741943
polygon-ecosystem,2023-07-29,2023,30,376,Bitcoin,29836.0,29353.0,-0.016188497117576
polygon-ecosystem,2023-07-29,2023,30,345,Binance Coin,242.41,242.19,-0.0009075533187574
polygon-ecosystem,2023-07-29,2023,30,5395,Uniswap,6.16,6.29,0.021103896103896
polygon-ecosystem,2023-07-29,2023,30,659,ChainLink,8.02,7.81,-0.0261845386533665
polygon-ecosystem,2023-07-29,2023,30,1036,Polygon,0.760187,0.720942,-0.0516254553155999
polygon-ecosystem,2023-07-29,2023,30,6569,The Graph,0.116803,0.111988,-0.0412232562519798
polygon-ecosystem,2023-07-29,2023,30,5613,Aave,72.53,73.53,0.0137873983179374
polygon-ecosystem,2023-07-29,2023,30,996,Maker,1089.84,1283.15,0.1773746605006241
polygon-ecosystem,2023-07-29,2023,30,1005,Synthetix Network Token,3.04,2.87,-0.0559210526315789
polygon-ecosystem,2023-07-29,2023,30,907,Decentraland,0.402619,0.390936,-0.0290175078672392
polygon-ecosystem,2023-08-05,2023,31,376,Bitcoin,29353.0,29029.0,-0.0110380540319558
polygon-ecosystem,2023-08-05,2023,31,345,Binance Coin,242.19,242.68,0.0020232049217556
polygon-ecosystem,2023-08-05,2023,31,5395,Uniswap,6.29,6.03,-0.0413354531001589
polygon-ecosystem,2023-08-05,2023,31,659,ChainLink,7.81,7.18,-0.0806658130601792
polygon-ecosystem,2023-08-05,2023,31,1036,Polygon,0.720942,0.662995,-0.0803767848176413
polygon-ecosystem,2023-08-05,2023,31,6569,The Graph,0.111988,0.10437,-0.068025145551309
polygon-ecosystem,2023-08-05,2023,31,5613,Aave,73.53,64.06,-0.1287909696722426
polygon-ecosystem,2023-08-05,2023,31,6723,Lido DAO,1.96,1.84,-0.0612244897959183
polygon-ecosystem,2023-08-05,2023,31,13879,Rocket Pool ETH,2032.04,1977.9,-0.0266431763154268
polygon-ecosystem,2023-08-05,2023,31,996,Maker,1283.15,1235.53,-0.0371117951915209
